,longitude,latitude
0,85.3140863,27.7057106
1,80.9346001,26.8381
2,85.301107,27.6842564
3,85.3021077,27.6850364
4,85.3112441,27.7179394
5,85.3184116,27.7087386
6,80.305789,26.465464
7,80.314388,26.464244
8,80.318223,26.468763
9,83.8948205,26.7379658
10,83.6993752,28.3999274
11,85.5134905,27.5840061
12,81.6010958,28.60641
13,80.5876112,28.7035346
14,85.2913585,27.7113489
15,85.9910239,26.7592515
16,83.7732919,28.0379368
17,83.7496382,28.0475418
18,84.5296803,28.0692468
19,80.3114319,26.4781242
20,85.2954603,27.7110872
21,85.5237477,27.6296267
22,85.3330204,27.667072
23,85.5242964,27.6283867
24,85.5238992,27.6329819
25,85.3443527,27.7324382
26,85.3305038,27.7177784
27,84.4363371,27.6821809
28,85.322661,27.7048958
29,84.423163,27.6991788
30,84.4235261,27.6991445
31,84.4384875,27.6757452
32,84.4387986,27.6709944
33,84.4360734,27.6837229
34,84.4391849,27.6847521
35,85.3443015,27.6812511
36,85.315271,27.6717643
37,85.3167825,27.6730443
38,80.9603901,26.8747124
39,84.4307286,27.6853544
40,85.3397177,27.7241352
41,84.4324497,27.6816756
42,84.4096154,27.6902999
43,85.3178811,27.7202714
44,85.3301395,27.6922425
45,85.3299048,27.6923541
46,85.32902,27.6903846
47,85.3910696,27.6325313
48,85.3230411,27.7378197
49,85.8279742,27.7536704
50,85.3092366,27.713065
51,85.2824017,27.7024512
52,85.3061261,27.7176682
53,88.1883803,26.8861056
54,85.0669243,27.7498415
55,85.5169801,27.5923956
56,88.0715599,26.8927337
57,85.3013735,27.6851305
58,85.3054073,27.6656582
59,85.3112844,27.6948215
60,85.3152583,27.6937147
61,85.2985867,27.6913755
62,84.0311056,29.7691345
63,85.2867382,27.70659
64,85.3370557,27.6943238
65,85.3737393,27.6741981
66,85.3242921,27.736695
67,85.3116341,27.7010578
68,85.3116341,27.701029
69,84.4140119,27.6810169
70,85.3464317,27.7179837
71,85.3457733,27.7168522
72,84.0236087,28.6663006
73,85.304213,27.6980033
74,83.5574686,27.8717349
75,80.5608601,29.0851166
76,85.3235715,27.7310242
77,84.4267111,27.697102
78,84.4302828,27.681559
79,84.5308581,27.9095694
80,85.2833194,27.7165926
81,85.3810864,27.7297316
82,83.7817848,26.495971
83,87.319959,27.2954348
84,86.0785213,27.6201886
85,85.3117739,27.6737417
86,86.7434096,26.5382787
87,86.7543666,26.5410338
88,86.7226564,26.5989884
89,86.746969,26.555821
90,83.24897,28.06868
91,83.03344,28.21695
92,83.164846,28.157663
93,83.17835,28.18547
94,83.11939,28.21791
95,83.068537,28.197827
96,83.14954,28.11648
97,83.2119,28.18323
98,83.27248,28.04781
99,83.1082,28.1017
100,83.23692,28.13327
101,83.132,28.23264
102,83.19566,28.17623
103,83.1841005,28.101818
104,83.037786,28.169185
105,83.12784,28.17655
106,83.0648,28.17043
107,83.18134,28.24374
108,83.22993,28.21747
109,83.13937,28.08575
110,83.07469,28.14339
111,83.09407,28.18656
112,83.2482724,28.0682616
113,83.11575,28.15858
114,83.0761906,28.2099002
115,83.24644,28.06697
116,82.4920255,28.0378487
117,83.87385,28.1050369
118,83.8739332,28.1051599
119,83.8738554,28.1052995
120,83.8739064,28.1052569
121,87.7656798,27.1475793
122,87.2675932,26.8095561
123,85.3084222,27.7049515
124,87.1208862,27.0216168
125,86.0752537,27.6796311
126,86.075702,27.6795522
127,84.6281275,27.9946583
128,82.6158358,28.3223946
129,81.7102382,28.8271958
130,85.3475795,27.7174587
131,84.3157881,28.2457314
132,84.4382822,28.139964
133,81.6160057,28.0521943
134,81.6285101,28.055423
135,85.5284279,27.6292701
136,85.319254,27.74921
137,81.6277995,28.0651409
138,85.151373,27.6198509
139,87.4493976,26.6525245
140,86.1605955,27.736213
141,87.1508363,26.6005988
142,88.0803749,26.5599901
143,85.3052843,27.6696861
144,84.4224991,27.6986884
145,84.4225384,27.6987231
146,84.4319285,27.6795631
147,84.4296794,27.687011
148,84.4325728,27.6810851
149,84.432257,27.6812589
150,84.4315012,27.6814028
151,84.4307855,27.6782161
152,84.4335294,27.6809433
153,84.4315618,27.6780877
154,84.4313574,27.681417
155,84.4294439,27.685502
156,84.4287179,27.6859846
157,84.4323063,27.6839862
158,84.4301751,27.6826383
159,84.4333861,27.6809481
160,84.4318008,27.6813321
161,84.4304008,27.6803636
162,84.4332766,27.6803508
163,84.4334678,27.6806469
164,84.4224062,27.6947719
165,84.4220941,27.6962512
166,85.5086851,27.683329
167,84.8334747,27.8111146
168,84.8797558,27.805271
169,84.4323865,27.6883737
170,85.5176877,27.7609085
171,85.2694403,27.7027224
172,85.266689,27.677218
173,87.2870304,26.8253483
174,84.807784,27.541439
175,84.5067582,27.6839787
176,84.6023438,27.5881643
177,84.3996275,28.1414237
178,85.9728639,26.7535283
179,85.3133858,27.7051759
180,85.3646625,27.4111084
181,85.275168,27.4446412
182,84.6237553,28.0085196
183,84.6350478,28.0369238
184,84.6197052,28.0627405
185,84.7417608,28.0769179
186,84.3306949,28.1100888
187,85.3364796,28.1421939
188,85.0862239,28.1758251
189,85.7116343,27.7778553
190,84.9755568,27.015303
191,85.335113,27.6830459
192,85.9092499,27.7964923
193,88.0490912,26.7196758
194,88.0505173,26.7213681
195,88.0492183,26.7190504
196,85.6161612,27.8685053
197,85.2821685,27.6947253
198,87.9908844,26.6849931
199,84.8505896,26.9907453
200,81.2226321,29.2196253
201,83.9339702,27.8996777
202,81.6321363,28.0610351
203,85.3522743,27.7336049
204,85.3358806,27.6734246
205,85.3357116,27.6734721
206,82.8905635,28.9573609
207,85.3246923,27.6909765
208,85.3275905,27.7015906
209,83.4576314,27.4654664
210,85.9237184,26.7423417
211,84.6216375,27.7921343
212,84.6748032,27.971878
213,85.3149906,27.8471035
214,85.4220862,27.6720774
215,86.0494701,27.6713417
216,85.3879984,27.6725806
217,85.3196166,27.617975
218,85.359588,27.6732587
219,85.2980835,27.7245817
220,83.4541135,27.5058563
221,81.6172459,28.0595708
222,87.3437792,26.971887
223,87.9890032,26.6860982
224,85.6209102,27.6485006
225,80.5712685,28.7126829
226,85.4037681,27.6744263
227,86.2112345,26.6581803
228,85.1457841,27.9015088
229,86.2315954,27.6349943
230,85.3520244,27.6755499
231,85.0792469,27.4419931
232,82.5274391,27.8701479
233,85.9198093,26.7376329
234,85.2034632,27.9938874
235,85.2901604,27.7101645
236,84.3769161,27.677379
237,82.7297233,28.2462841
238,84.0905131,27.6268892
239,81.0676499,26.8928818
240,84.1796081,27.667308
241,84.1792127,27.6665427
242,83.0398035,27.6619264
243,83.0403445,27.6619418
244,80.9777199,26.9188249
245,84.1080758,27.6533235
246,84.1112624,27.6559663
247,87.685745,26.7177708
248,85.9351683,27.50935
249,84.1107204,28.3296534
250,82.5369278,27.8118991
251,84.3713274,28.0705189
252,84.3726012,28.0712288
253,87.2755094,26.4728365
254,80.9745792,26.9044958
255,80.9684048,26.8978761
256,86.7117909,27.8041777
257,85.5353208,27.6307063
258,85.3622164,27.7204629
259,85.2411575,27.7850366
260,84.2689367,27.9768326
261,84.5290998,27.6728273
262,84.5248813,27.6688653
263,84.5188366,27.6225863
264,87.9980958,26.6448607
265,82.201884,27.3475392
266,85.8915039,26.9904482
267,87.696008,26.7083628
268,84.8849547,27.0125614
269,80.5532168,28.8116311
270,85.3217511,27.6773339
271,87.6038438,26.6654297
272,87.6994505,26.6604174
273,85.252015,27.6903149
274,84.8738086,27.0074549
275,85.309812,27.6699428
276,87.7005302,26.6606707
277,80.9396469,26.8184414
278,87.5346974,27.1290911
279,84.8716327,27.0038274
280,85.3090847,27.7190481
281,85.33121,27.7288036
282,88.157665,26.6489119
283,88.1580828,26.6498244
284,87.997455,26.6447115
285,87.9973121,26.6443882
286,84.4363375,27.6836432
287,84.1302238,27.6455468
288,84.0922677,27.6294945
289,83.0443859,27.662508
290,85.2591226,27.6863982
291,85.2913224,27.7048381
292,87.2806931,26.8120481
293,87.2862952,26.4584354
294,83.8058412,28.0615783
295,87.2690219,26.8117292
296,83.4655842,27.6972153
297,83.4656596,27.6972598
298,84.2631739,28.1971624
299,81.6160869,28.0524688
300,85.3364085,27.7042102
301,80.4670269,29.7546914
302,85.3485184,27.8401891
303,85.2916757,27.853087
304,85.3283959,27.6213032
305,85.3432835,27.8502262
306,85.3510822,27.7356162
307,83.4486669,27.4891213
308,85.3299703,27.7344396
309,85.3300159,27.7344536
310,85.3300533,27.7342434
311,85.3335285,27.7445649
312,85.3306265,27.7365875
313,84.3771218,28.2331462
314,84.6241748,27.9975487
315,84.5371387,27.901411
316,84.6276426,27.9951581
317,84.0660882,28.1659898
318,85.3147438,27.711016
319,85.9307288,26.7156035
320,85.169186,28.016812
321,85.193042,27.925551
322,85.336435,27.7042162
323,83.4651034,27.6963413
324,85.1457805,27.9026442
325,80.6125758,28.7749141
326,86.0318022,26.9098423
327,85.9525858,26.8153277
328,81.3393512,29.1522064
329,84.4737017,28.07998
330,84.463888,28.0967049
331,84.495413,28.0909945
332,84.4423538,28.114505
333,84.5119988,28.0981321
334,83.4355881,27.9366809
335,87.2861583,26.4584484
336,87.2843481,26.4582486
337,85.3528621,27.6764754
338,85.9157196,26.9813826
339,85.3491484,27.6827395
340,85.3135768,27.5768323
341,85.3467985,27.7180919
342,84.2950156,27.6189815
343,84.4266151,27.7466675
344,81.6069215,29.1808186
345,83.5303426,27.5865534
346,84.0059428,28.2031193
347,88.0994293,26.6585166
348,88.0946171,26.6670044
349,85.3363682,27.7042138
350,85.16843,27.6489421
351,85.307095,27.6960775
352,84.8957056,27.0116726
353,85.2752829,27.6684119
354,86.1776773,27.424741
355,81.6285476,28.7892703
356,81.8104005,28.9062506
357,81.8383173,28.806299
358,81.6254679,28.8958911
359,81.4783956,28.9518449
360,81.4542329,28.9907395
361,81.7430314,28.8797132
362,81.5254489,28.9678064
363,81.6801243,28.8951719
364,81.6899572,28.9285325
365,81.6958946,28.8957039
366,81.6243966,28.9271707
367,81.6880453,28.7536724
368,81.5419787,28.9255305
369,81.4620293,29.06364
370,85.3706839,27.7291945
371,85.3343886,27.6620644
372,86.087084,27.3157801
373,86.1453994,27.307949
374,84.4978511,28.0942642
375,87.9905366,26.620664
376,81.3473261,28.2028096
377,83.4665785,27.6965718
378,86.2827832,26.6938469
379,83.1257913,27.9730724
380,83.1272929,27.9739275
381,86.0494397,27.6714169
382,85.3272007,27.7983383
383,83.8628082,28.122993
384,85.914091,27.2123925
385,83.8625154,28.1230022
386,87.2771152,26.6620836
387,83.8351194,28.1401339
388,86.7408096,26.5430531
389,86.742803,26.5380402
390,86.7435525,26.5390874
391,85.9203841,26.7325957
392,85.3300467,27.7365506
393,81.9691946,27.1496198
394,87.2733411,26.6631115
395,85.3115909,27.6830328
396,84.406664,27.9415501
397,85.48598,26.8212833
398,81.614199,28.0878952
399,87.2772846,26.6620578
400,85.3324122,27.6892061
401,85.9543414,27.7689843
402,85.3324587,27.6891653
403,85.3610239,27.6045871
404,80.8100587,29.6450002
405,85.7975045,26.8203635
406,85.7861775,26.9199585
407,83.0437463,27.6594394
408,83.9769179,28.2066295
409,87.9691129,26.8766817
410,87.9266972,26.9091887
411,85.3130213,27.7350965
412,81.6774648,28.1989099
413,85.2740257,26.765032
414,81.6549241,28.1006695
415,80.8017476,29.5688362
416,81.6177763,28.0475985
417,81.6176623,28.0584102
418,84.2723775,27.578431
419,81.6358914,28.059682
420,81.6182031,28.0523238
421,81.6172203,28.0524772
422,81.6172203,28.0538429
423,81.6366501,28.0589056
424,81.6139383,28.0547162
425,87.7031023,26.6712262
426,81.6066116,28.0315666
427,81.6460474,28.0599708
428,83.6659656,27.5316825
429,86.2205761,26.6353152
430,85.3071155,27.6949625
